"chlorphyll:435,665",,,
Well,"chlorphyll:435,665",Reading Date/Time,Well ID
A1,20,1/11/2022 15:12,SPL1
B1,19,1/11/2022 15:12,SPL2
C1,20,1/11/2022 15:12,SPL3
D1,20,1/11/2022 15:12,SPL4
E1,19,1/11/2022 15:12,SPL5
F1,16,1/11/2022 15:12,SPL6
G1,18,1/11/2022 15:12,SPL7
H1,21,1/11/2022 15:12,SPL8
A2,21,1/11/2022 15:12,SPL9
B2,15,1/11/2022 15:12,SPL10
C2,14,1/11/2022 15:12,SPL11
D2,18,1/11/2022 15:12,SPL12
E2,16,1/11/2022 15:12,SPL13
F2,12,1/11/2022 15:12,SPL14
G2,18,1/11/2022 15:12,SPL15
H2,15,1/11/2022 15:12,SPL16
A3,20,1/11/2022 15:12,SPL17
B3,17,1/11/2022 15:12,SPL18
C3,17,1/11/2022 15:12,SPL19
D3,16,1/11/2022 15:12,SPL20
E3,15,1/11/2022 15:12,SPL21
F3,18,1/11/2022 15:12,SPL22
G3,19,1/11/2022 15:12,SPL23
H3,18,1/11/2022 15:12,SPL24
A4,20,1/11/2022 15:12,SPL25
B4,13,1/11/2022 15:12,SPL26
C4,13,1/11/2022 15:12,SPL27
D4,13,1/11/2022 15:12,SPL28
E4,12,1/11/2022 15:12,SPL29
F4,15,1/11/2022 15:12,SPL30
G4,17,1/11/2022 15:12,SPL31
H4,18,1/11/2022 15:12,SPL32
A5,18,1/11/2022 15:12,SPL33
B5,12,1/11/2022 15:12,SPL34
C5,16,1/11/2022 15:12,SPL35
D5,14,1/11/2022 15:12,SPL36
E5,18,1/11/2022 15:12,SPL37
F5,17,1/11/2022 15:12,SPL38
G5,21,1/11/2022 15:12,SPL39
H5,22,1/11/2022 15:12,SPL40
A6,17,1/11/2022 15:12,SPL41
B6,20,1/11/2022 15:12,SPL42
C6,13,1/11/2022 15:12,SPL43
D6,18,1/11/2022 15:12,SPL44
E6,18,1/11/2022 15:12,SPL45
F6,17,1/11/2022 15:12,SPL46
G6,21,1/11/2022 15:12,SPL47
H6,21,1/11/2022 15:12,SPL48
A7,19,1/11/2022 15:12,SPL49
B7,19,1/11/2022 15:12,SPL50
C7,19,1/11/2022 15:12,SPL51
D7,14,1/11/2022 15:12,SPL52
E7,17,1/11/2022 15:12,SPL53
F7,15,1/11/2022 15:12,SPL54
G7,16,1/11/2022 15:12,SPL55
H7,24,1/11/2022 15:12,SPL56
A8,19,1/11/2022 15:12,SPL57
B8,14,1/11/2022 15:12,SPL58
C8,17,1/11/2022 15:12,SPL59
D8,15,1/11/2022 15:12,SPL60
E8,18,1/11/2022 15:12,SPL61
F8,20,1/11/2022 15:12,SPL62
G8,16,1/11/2022 15:12,SPL63
H8,21,1/11/2022 15:12,SPL64
A9,22,1/11/2022 15:12,SPL65
B9,22,1/11/2022 15:12,SPL66
C9,16,1/11/2022 15:12,SPL67
D9,15,1/11/2022 15:12,SPL68
E9,21,1/11/2022 15:12,SPL69
F9,16,1/11/2022 15:12,SPL70
G9,17,1/11/2022 15:12,SPL71
H9,20,1/11/2022 15:12,SPL72
A10,21,1/11/2022 15:12,SPL73
B10,20,1/11/2022 15:12,SPL74
C10,20,1/11/2022 15:12,SPL75
D10,25,1/11/2022 15:12,SPL76
E10,17,1/11/2022 15:12,SPL77
F10,23,1/11/2022 15:12,SPL78
G10,19,1/11/2022 15:12,SPL79
H10,19,1/11/2022 15:12,SPL80
A11,20,1/11/2022 15:12,SPL81
B11,19,1/11/2022 15:12,SPL82
C11,24,1/11/2022 15:12,SPL83
D11,20,1/11/2022 15:12,SPL84
E11,20,1/11/2022 15:12,SPL85
F11,26,1/11/2022 15:12,SPL86
G11,20,1/11/2022 15:12,SPL87
H11,27,1/11/2022 15:12,SPL88
A12,4,1/11/2022 15:12,SPL89
B12,3,1/11/2022 15:12,SPL90
C12,3,1/11/2022 15:12,SPL91
D12,3,1/11/2022 15:12,SPL92
E12,2,1/11/2022 15:12,SPL93
F12,2,1/11/2022 15:12,SPL94
G12,1,1/11/2022 15:12,SPL95
H12,3,1/11/2022 15:12,SPL96
