"chlorphyll:435,665",,,
Well,"chlorphyll:435,665",Reading Date/Time,Well ID
A1,8,12/6/2021 14:48,SPL1
B1,7,12/6/2021 14:48,SPL2
C1,10,12/6/2021 14:48,SPL3
D1,12,12/6/2021 14:48,SPL4
E1,8,12/6/2021 14:48,SPL5
F1,7,12/6/2021 14:48,SPL6
G1,6,12/6/2021 14:48,SPL7
H1,10,12/6/2021 14:48,SPL8
A2,7,12/6/2021 14:48,SPL9
B2,10,12/6/2021 14:48,SPL10
C2,6,12/6/2021 14:48,SPL11
D2,9,12/6/2021 14:48,SPL12
E2,9,12/6/2021 14:48,SPL13
F2,6,12/6/2021 14:48,SPL14
G2,6,12/6/2021 14:48,SPL15
H2,4,12/6/2021 14:48,SPL16
A3,6,12/6/2021 14:48,SPL17
B3,7,12/6/2021 14:48,SPL18
C3,5,12/6/2021 14:48,SPL19
D3,7,12/6/2021 14:48,SPL20
E3,10,12/6/2021 14:48,SPL21
F3,8,12/6/2021 14:48,SPL22
G3,6,12/6/2021 14:48,SPL23
H3,8,12/6/2021 14:48,SPL24
A4,8,12/6/2021 14:48,SPL25
B4,3,12/6/2021 14:48,SPL26
C4,7,12/6/2021 14:48,SPL27
D4,8,12/6/2021 14:48,SPL28
E4,5,12/6/2021 14:48,SPL29
F4,9,12/6/2021 14:48,SPL30
G4,4,12/6/2021 14:48,SPL31
H4,6,12/6/2021 14:48,SPL32
A5,8,12/6/2021 14:48,SPL33
B5,7,12/6/2021 14:48,SPL34
C5,7,12/6/2021 14:48,SPL35
D5,5,12/6/2021 14:48,SPL36
E5,10,12/6/2021 14:48,SPL37
F5,7,12/6/2021 14:48,SPL38
G5,8,12/6/2021 14:48,SPL39
H5,11,12/6/2021 14:48,SPL40
A6,7,12/6/2021 14:48,SPL41
B6,5,12/6/2021 14:48,SPL42
C6,6,12/6/2021 14:48,SPL43
D6,8,12/6/2021 14:48,SPL44
E6,8,12/6/2021 14:48,SPL45
F6,8,12/6/2021 14:48,SPL46
G6,7,12/6/2021 14:48,SPL47
H6,5,12/6/2021 14:48,SPL48
A7,6,12/6/2021 14:48,SPL49
B7,6,12/6/2021 14:48,SPL50
C7,12,12/6/2021 14:48,SPL51
D7,10,12/6/2021 14:48,SPL52
E7,8,12/6/2021 14:48,SPL53
F7,9,12/6/2021 14:48,SPL54
G7,8,12/6/2021 14:48,SPL55
H7,9,12/6/2021 14:48,SPL56
A8,7,12/6/2021 14:48,SPL57
B8,10,12/6/2021 14:48,SPL58
C8,11,12/6/2021 14:48,SPL59
D8,10,12/6/2021 14:48,SPL60
E8,7,12/6/2021 14:48,SPL61
F8,8,12/6/2021 14:48,SPL62
G8,10,12/6/2021 14:48,SPL63
H8,10,12/6/2021 14:48,SPL64
A9,5,12/6/2021 14:48,SPL65
B9,7,12/6/2021 14:48,SPL66
C9,9,12/6/2021 14:48,SPL67
D9,4,12/6/2021 14:48,SPL68
E9,11,12/6/2021 14:48,SPL69
F9,6,12/6/2021 14:48,SPL70
G9,4,12/6/2021 14:48,SPL71
H9,6,12/6/2021 14:48,SPL72
A10,0,12/6/2021 14:48,SPL73
B10,1,12/6/2021 14:48,SPL74
C10,1,12/6/2021 14:48,SPL75
D10,0,12/6/2021 14:48,SPL76
E10,0,12/6/2021 14:48,SPL77
F10,0,12/6/2021 14:48,SPL78
G10,1,12/6/2021 14:48,SPL79
H10,4,12/6/2021 14:48,SPL80
A11,8,12/6/2021 14:48,SPL81
B11,5,12/6/2021 14:48,SPL82
C11,7,12/6/2021 14:48,SPL83
D11,6,12/6/2021 14:48,SPL84
E11,8,12/6/2021 14:48,SPL85
F11,6,12/6/2021 14:48,SPL86
G11,7,12/6/2021 14:48,SPL87
H11,4,12/6/2021 14:48,SPL88
A12,4,12/6/2021 14:48,SPL89
B12,5,12/6/2021 14:48,SPL90
C12,5,12/6/2021 14:48,SPL91
D12,4,12/6/2021 14:48,SPL92
E12,3,12/6/2021 14:48,SPL93
F12,4,12/6/2021 14:48,SPL94
G12,3,12/6/2021 14:48,SPL95
H12,3,12/6/2021 14:48,SPL96
