"chlorphyll:435,665",,,
Well,"chlorphyll:435,665",Reading Date/Time,Well ID
A1,24,1/10/2022 15:16,SPL1
B1,24,1/10/2022 15:16,SPL2
C1,22,1/10/2022 15:16,SPL3
D1,21,1/10/2022 15:16,SPL4
E1,28,1/10/2022 15:16,SPL5
F1,26,1/10/2022 15:16,SPL6
G1,26,1/10/2022 15:16,SPL7
H1,26,1/10/2022 15:16,SPL8
A2,25,1/10/2022 15:16,SPL9
B2,28,1/10/2022 15:16,SPL10
C2,18,1/10/2022 15:16,SPL11
D2,25,1/10/2022 15:16,SPL12
E2,24,1/10/2022 15:16,SPL13
F2,31,1/10/2022 15:16,SPL14
G2,24,1/10/2022 15:16,SPL15
H2,25,1/10/2022 15:16,SPL16
A3,30,1/10/2022 15:16,SPL17
B3,23,1/10/2022 15:16,SPL18
C3,27,1/10/2022 15:16,SPL19
D3,25,1/10/2022 15:16,SPL20
E3,26,1/10/2022 15:16,SPL21
F3,29,1/10/2022 15:16,SPL22
G3,25,1/10/2022 15:16,SPL23
H3,24,1/10/2022 15:16,SPL24
A4,20,1/10/2022 15:16,SPL25
B4,19,1/10/2022 15:16,SPL26
C4,22,1/10/2022 15:16,SPL27
D4,24,1/10/2022 15:16,SPL28
E4,22,1/10/2022 15:16,SPL29
F4,28,1/10/2022 15:16,SPL30
G4,26,1/10/2022 15:16,SPL31
H4,22,1/10/2022 15:16,SPL32
A5,24,1/10/2022 15:16,SPL33
B5,21,1/10/2022 15:16,SPL34
C5,21,1/10/2022 15:16,SPL35
D5,22,1/10/2022 15:16,SPL36
E5,28,1/10/2022 15:16,SPL37
F5,27,1/10/2022 15:16,SPL38
G5,21,1/10/2022 15:16,SPL39
H5,21,1/10/2022 15:16,SPL40
A6,24,1/10/2022 15:16,SPL41
B6,35,1/10/2022 15:16,SPL42
C6,29,1/10/2022 15:16,SPL43
D6,30,1/10/2022 15:16,SPL44
E6,38,1/10/2022 15:16,SPL45
F6,28,1/10/2022 15:16,SPL46
G6,27,1/10/2022 15:16,SPL47
H6,27,1/10/2022 15:16,SPL48
A7,23,1/10/2022 15:16,SPL49
B7,33,1/10/2022 15:16,SPL50
C7,31,1/10/2022 15:16,SPL51
D7,31,1/10/2022 15:16,SPL52
E7,34,1/10/2022 15:16,SPL53
F7,36,1/10/2022 15:16,SPL54
G7,37,1/10/2022 15:16,SPL55
H7,34,1/10/2022 15:16,SPL56
A8,29,1/10/2022 15:16,SPL57
B8,35,1/10/2022 15:16,SPL58
C8,27,1/10/2022 15:16,SPL59
D8,35,1/10/2022 15:16,SPL60
E8,27,1/10/2022 15:16,SPL61
F8,33,1/10/2022 15:16,SPL62
G8,42,1/10/2022 15:16,SPL63
H8,33,1/10/2022 15:16,SPL64
A9,37,1/10/2022 15:16,SPL65
B9,31,1/10/2022 15:16,SPL66
C9,40,1/10/2022 15:16,SPL67
D9,40,1/10/2022 15:16,SPL68
E9,40,1/10/2022 15:16,SPL69
F9,38,1/10/2022 15:16,SPL70
G9,42,1/10/2022 15:16,SPL71
H9,49,1/10/2022 15:16,SPL72
A10,35,1/10/2022 15:16,SPL73
B10,27,1/10/2022 15:16,SPL74
C10,31,1/10/2022 15:16,SPL75
D10,38,1/10/2022 15:16,SPL76
E10,35,1/10/2022 15:16,SPL77
F10,37,1/10/2022 15:16,SPL78
G10,38,1/10/2022 15:16,SPL79
H10,38,1/10/2022 15:16,SPL80
A11,24,1/10/2022 15:16,SPL81
B11,28,1/10/2022 15:16,SPL82
C11,28,1/10/2022 15:16,SPL83
D11,32,1/10/2022 15:16,SPL84
E11,33,1/10/2022 15:16,SPL85
F11,27,1/10/2022 15:16,SPL86
G11,26,1/10/2022 15:16,SPL87
H11,28,1/10/2022 15:16,SPL88
A12,0,1/10/2022 15:16,SPL89
B12,2,1/10/2022 15:16,SPL90
C12,2,1/10/2022 15:16,SPL91
D12,3,1/10/2022 15:16,SPL92
E12,4,1/10/2022 15:16,SPL93
F12,3,1/10/2022 15:16,SPL94
G12,0,1/10/2022 15:16,SPL95
H12,4,1/10/2022 15:16,SPL96
