"chlorphyll:435,665",,,,
Well,"chlorphyll:435,665",Reading Date/Time,Well ID,
A1,26,1/11/2022 14:59,SPL1,
B1,24,1/11/2022 14:59,SPL2,
C1,24,1/11/2022 14:59,SPL3,
D1,27,1/11/2022 14:59,SPL4,
E1,23,1/11/2022 14:59,SPL5,
F1,28,1/11/2022 14:59,SPL6,
G1,24,1/11/2022 14:59,SPL7,
H1,28,1/11/2022 14:59,SPL8,
A2,28,1/11/2022 14:59,SPL9,
B2,26,1/11/2022 14:59,SPL10,
C2,26,1/11/2022 14:59,SPL11,
D2,24,1/11/2022 14:59,SPL12,
E2,29,1/11/2022 14:59,SPL13,
F2,17,1/11/2022 14:59,SPL14,
G2,24,1/11/2022 14:59,SPL15,
H2,26,1/11/2022 14:59,SPL16,
A3,20,1/11/2022 14:59,SPL17,
B3,24,1/11/2022 14:59,SPL18,
C3,24,1/11/2022 14:59,SPL19,
D3,21,1/11/2022 14:59,SPL20,
E3,26,1/11/2022 14:59,SPL21,
F3,23,1/11/2022 14:59,SPL22,
G3,21,1/11/2022 14:59,SPL23,
H3,25,1/11/2022 14:59,SPL24,
A4,26,1/11/2022 14:59,SPL25,
B4,21,1/11/2022 14:59,SPL26,
C4,20,1/11/2022 14:59,SPL27,
D4,22,1/11/2022 14:59,SPL28,
E4,24,1/11/2022 14:59,SPL29,
F4,24,1/11/2022 14:59,SPL30,
G4,19,1/11/2022 14:59,SPL31,
H4,24,1/11/2022 14:59,SPL32,
A5,23,1/11/2022 14:59,SPL33,
B5,26,1/11/2022 14:59,SPL34,
C5,26,1/11/2022 14:59,SPL35,
D5,25,1/11/2022 14:59,SPL36,
E5,27,1/11/2022 14:59,SPL37,
F5,22,1/11/2022 14:59,SPL38,
G5,25,1/11/2022 14:59,SPL39,
H5,23,1/11/2022 14:59,SPL40,
A6,20,1/11/2022 14:59,SPL41,
B6,21,1/11/2022 14:59,SPL42,
C6,21,1/11/2022 14:59,SPL43,
D6,31,1/11/2022 14:59,SPL44,
E6,25,1/11/2022 14:59,SPL45,
F6,28,1/11/2022 14:59,SPL46,
G6,26,1/11/2022 14:59,SPL47,
H6,30,1/11/2022 14:59,SPL48,
A7,29,1/11/2022 14:59,SPL49,
B7,28,1/11/2022 14:59,SPL50,
C7,24,1/11/2022 14:59,SPL51,
D7,16,1/11/2022 14:59,SPL52,
E7,17,1/11/2022 14:59,SPL53,
F7,23,1/11/2022 14:59,SPL54,
G7,26,1/11/2022 14:59,SPL55,
H7,26,1/11/2022 14:59,SPL56,
A8,26,1/11/2022 14:59,SPL57,
B8,25,1/11/2022 14:59,SPL58,
C8,24,1/11/2022 14:59,SPL59,
D8,29,1/11/2022 14:59,SPL60,
E8,24,1/11/2022 14:59,SPL61,
F8,27,1/11/2022 14:59,SPL62,
G8,29,1/11/2022 14:59,SPL63,
H8,32,1/11/2022 14:59,SPL64,
A9,27,1/11/2022 14:59,SPL65,
B9,28,1/11/2022 14:59,SPL66,
C9,23,1/11/2022 14:59,SPL67,
D9,29,1/11/2022 14:59,SPL68,
E9,59,1/11/2022 14:59,SPL69,Remove this value
F9,26,1/11/2022 14:59,SPL70,
G9,28,1/11/2022 14:59,SPL71,
H9,31,1/11/2022 14:59,SPL72,
A10,27,1/11/2022 14:59,SPL73,
B10,25,1/11/2022 14:59,SPL74,
C10,27,1/11/2022 14:59,SPL75,
D10,27,1/11/2022 14:59,SPL76,
E10,29,1/11/2022 14:59,SPL77,
F10,27,1/11/2022 14:59,SPL78,
G10,25,1/11/2022 14:59,SPL79,
H10,24,1/11/2022 14:59,SPL80,
A11,33,1/11/2022 14:59,SPL81,
B11,27,1/11/2022 14:59,SPL82,
C11,34,1/11/2022 14:59,SPL83,
D11,25,1/11/2022 14:59,SPL84,
E11,22,1/11/2022 14:59,SPL85,
F11,28,1/11/2022 14:59,SPL86,
G11,31,1/11/2022 14:59,SPL87,
H11,28,1/11/2022 14:59,SPL88,
A12,4,1/11/2022 14:59,SPL89,
B12,3,1/11/2022 14:59,SPL90,
C12,2,1/11/2022 14:59,SPL91,
D12,4,1/11/2022 14:59,SPL92,
E12,2,1/11/2022 14:59,SPL93,
F12,4,1/11/2022 14:59,SPL94,
G12,1,1/11/2022 14:59,SPL95,
H12,1,1/11/2022 14:59,SPL96,
