"chlorphyll:435,665",,,
Well,"chlorphyll:435,665",Reading Date/Time,Well ID
A1,17,1/11/2022 15:22,SPL1
B1,18,1/11/2022 15:22,SPL2
C1,18,1/11/2022 15:22,SPL3
D1,20,1/11/2022 15:22,SPL4
E1,16,1/11/2022 15:22,SPL5
F1,18,1/11/2022 15:22,SPL6
G1,16,1/11/2022 15:22,SPL7
H1,14,1/11/2022 15:22,SPL8
A2,16,1/11/2022 15:22,SPL9
B2,16,1/11/2022 15:22,SPL10
C2,20,1/11/2022 15:22,SPL11
D2,14,1/11/2022 15:22,SPL12
E2,20,1/11/2022 15:22,SPL13
F2,23,1/11/2022 15:22,SPL14
G2,22,1/11/2022 15:22,SPL15
H2,13,1/11/2022 15:22,SPL16
A3,13,1/11/2022 15:22,SPL17
B3,16,1/11/2022 15:22,SPL18
C3,17,1/11/2022 15:22,SPL19
D3,17,1/11/2022 15:22,SPL20
E3,20,1/11/2022 15:22,SPL21
F3,15,1/11/2022 15:22,SPL22
G3,12,1/11/2022 15:22,SPL23
H3,23,1/11/2022 15:22,SPL24
A4,15,1/11/2022 15:22,SPL25
B4,12,1/11/2022 15:22,SPL26
C4,15,1/11/2022 15:22,SPL27
D4,15,1/11/2022 15:22,SPL28
E4,17,1/11/2022 15:22,SPL29
F4,17,1/11/2022 15:22,SPL30
G4,22,1/11/2022 15:22,SPL31
H4,14,1/11/2022 15:22,SPL32
A5,17,1/11/2022 15:22,SPL33
B5,20,1/11/2022 15:22,SPL34
C5,14,1/11/2022 15:22,SPL35
D5,12,1/11/2022 15:22,SPL36
E5,19,1/11/2022 15:22,SPL37
F5,14,1/11/2022 15:22,SPL38
G5,18,1/11/2022 15:22,SPL39
H5,16,1/11/2022 15:22,SPL40
A6,12,1/11/2022 15:22,SPL41
B6,21,1/11/2022 15:22,SPL42
C6,17,1/11/2022 15:22,SPL43
D6,15,1/11/2022 15:22,SPL44
E6,15,1/11/2022 15:22,SPL45
F6,17,1/11/2022 15:22,SPL46
G6,18,1/11/2022 15:22,SPL47
H6,19,1/11/2022 15:22,SPL48
A7,14,1/11/2022 15:22,SPL49
B7,13,1/11/2022 15:22,SPL50
C7,17,1/11/2022 15:22,SPL51
D7,17,1/11/2022 15:22,SPL52
E7,15,1/11/2022 15:22,SPL53
F7,17,1/11/2022 15:22,SPL54
G7,13,1/11/2022 15:22,SPL55
H7,14,1/11/2022 15:22,SPL56
A8,16,1/11/2022 15:22,SPL57
B8,16,1/11/2022 15:22,SPL58
C8,20,1/11/2022 15:22,SPL59
D8,17,1/11/2022 15:22,SPL60
E8,18,1/11/2022 15:22,SPL61
F8,17,1/11/2022 15:22,SPL62
G8,18,1/11/2022 15:22,SPL63
H8,17,1/11/2022 15:22,SPL64
A9,18,1/11/2022 15:22,SPL65
B9,17,1/11/2022 15:22,SPL66
C9,14,1/11/2022 15:22,SPL67
D9,18,1/11/2022 15:22,SPL68
E9,15,1/11/2022 15:22,SPL69
F9,18,1/11/2022 15:22,SPL70
G9,17,1/11/2022 15:22,SPL71
H9,18,1/11/2022 15:22,SPL72
A10,0,1/11/2022 15:22,SPL73
B10,0,1/11/2022 15:22,SPL74
C10,1,1/11/2022 15:22,SPL75
D10,1,1/11/2022 15:22,SPL76
E10,2,1/11/2022 15:22,SPL77
F10,0,1/11/2022 15:22,SPL78
G10,1,1/11/2022 15:22,SPL79
H10,1,1/11/2022 15:22,SPL80
A11,18,1/11/2022 15:22,SPL81
B11,17,1/11/2022 15:22,SPL82
C11,24,1/11/2022 15:22,SPL83
D11,19,1/11/2022 15:22,SPL84
E11,20,1/11/2022 15:22,SPL85
F11,18,1/11/2022 15:22,SPL86
G11,19,1/11/2022 15:22,SPL87
H11,18,1/11/2022 15:22,SPL88
A12,3,1/11/2022 15:22,SPL89
B12,1,1/11/2022 15:22,SPL90
C12,2,1/11/2022 15:22,SPL91
D12,3,1/11/2022 15:22,SPL92
E12,2,1/11/2022 15:22,SPL93
F12,2,1/11/2022 15:22,SPL94
G12,2,1/11/2022 15:22,SPL95
H12,1,1/11/2022 15:22,SPL96
