"chlorphyll:435,665",,,
Well,"chlorphyll:435,665",Reading Date/Time,Well ID
A1,19,1/11/2022 14:56,SPL1
B1,27,1/11/2022 14:56,SPL2
C1,22,1/11/2022 14:56,SPL3
D1,30,1/11/2022 14:56,SPL4
E1,32,1/11/2022 14:56,SPL5
F1,30,1/11/2022 14:56,SPL6
G1,22,1/11/2022 14:56,SPL7
H1,29,1/11/2022 14:56,SPL8
A2,22,1/11/2022 14:56,SPL9
B2,25,1/11/2022 14:56,SPL10
C2,11,1/11/2022 14:56,SPL11
D2,26,1/11/2022 14:56,SPL12
E2,19,1/11/2022 14:56,SPL13
F2,26,1/11/2022 14:56,SPL14
G2,30,1/11/2022 14:56,SPL15
H2,30,1/11/2022 14:56,SPL16
A3,20,1/11/2022 14:56,SPL17
B3,21,1/11/2022 14:56,SPL18
C3,21,1/11/2022 14:56,SPL19
D3,21,1/11/2022 14:56,SPL20
E3,27,1/11/2022 14:56,SPL21
F3,28,1/11/2022 14:56,SPL22
G3,32,1/11/2022 14:56,SPL23
H3,23,1/11/2022 14:56,SPL24
A4,27,1/11/2022 14:56,SPL25
B4,25,1/11/2022 14:56,SPL26
C4,19,1/11/2022 14:56,SPL27
D4,22,1/11/2022 14:56,SPL28
E4,28,1/11/2022 14:56,SPL29
F4,20,1/11/2022 14:56,SPL30
G4,27,1/11/2022 14:56,SPL31
H4,27,1/11/2022 14:56,SPL32
A5,21,1/11/2022 14:56,SPL33
B5,18,1/11/2022 14:56,SPL34
C5,24,1/11/2022 14:56,SPL35
D5,25,1/11/2022 14:56,SPL36
E5,27,1/11/2022 14:56,SPL37
F5,25,1/11/2022 14:56,SPL38
G5,27,1/11/2022 14:56,SPL39
H5,20,1/11/2022 14:56,SPL40
A6,27,1/11/2022 14:56,SPL41
B6,30,1/11/2022 14:56,SPL42
C6,21,1/11/2022 14:56,SPL43
D6,23,1/11/2022 14:56,SPL44
E6,30,1/11/2022 14:56,SPL45
F6,27,1/11/2022 14:56,SPL46
G6,22,1/11/2022 14:56,SPL47
H6,32,1/11/2022 14:56,SPL48
A7,21,1/11/2022 14:56,SPL49
B7,22,1/11/2022 14:56,SPL50
C7,22,1/11/2022 14:56,SPL51
D7,24,1/11/2022 14:56,SPL52
E7,19,1/11/2022 14:56,SPL53
F7,25,1/11/2022 14:56,SPL54
G7,26,1/11/2022 14:56,SPL55
H7,21,1/11/2022 14:56,SPL56
A8,31,1/11/2022 14:56,SPL57
B8,28,1/11/2022 14:56,SPL58
C8,27,1/11/2022 14:56,SPL59
D8,28,1/11/2022 14:56,SPL60
E8,31,1/11/2022 14:56,SPL61
F8,23,1/11/2022 14:56,SPL62
G8,30,1/11/2022 14:56,SPL63
H8,34,1/11/2022 14:56,SPL64
A9,31,1/11/2022 14:56,SPL65
B9,36,1/11/2022 14:56,SPL66
C9,35,1/11/2022 14:56,SPL67
D9,27,1/11/2022 14:56,SPL68
E9,29,1/11/2022 14:56,SPL69
F9,24,1/11/2022 14:56,SPL70
G9,26,1/11/2022 14:56,SPL71
H9,29,1/11/2022 14:56,SPL72
A10,1,1/11/2022 14:56,SPL73
B10,1,1/11/2022 14:56,SPL74
C10,1,1/11/2022 14:56,SPL75
D10,0,1/11/2022 14:56,SPL76
E10,1,1/11/2022 14:56,SPL77
F10,1,1/11/2022 14:56,SPL78
G10,1,1/11/2022 14:56,SPL79
H10,0,1/11/2022 14:56,SPL80
A11,24,1/11/2022 14:56,SPL81
B11,26,1/11/2022 14:56,SPL82
C11,36,1/11/2022 14:56,SPL83
D11,28,1/11/2022 14:56,SPL84
E11,29,1/11/2022 14:56,SPL85
F11,23,1/11/2022 14:56,SPL86
G11,27,1/11/2022 14:56,SPL87
H11,30,1/11/2022 14:56,SPL88
A12,2,1/11/2022 14:56,SPL89
B12,1,1/11/2022 14:56,SPL90
C12,3,1/11/2022 14:56,SPL91
D12,3,1/11/2022 14:56,SPL92
E12,2,1/11/2022 14:56,SPL93
F12,3,1/11/2022 14:56,SPL94
G12,2,1/11/2022 14:56,SPL95
H12,1,1/11/2022 14:56,SPL96
