Unique code,Diet,Parasites,Clone,Rep,Block,length_7,length_8,length_14,length_15,length_21,length_22,length_24
S:M Met MID 7,SM,Metsch,Mid37,7,4,,837.86,,1026.12,,NA,NA
S:M Met MID 8,SM,Metsch,Mid37,8,4,,NA,,NA,,NA,NA
S:M Met MID 9,SM,Metsch,Mid37,9,4,,863.7,,NA,,NA,NA
S:M Met MID 10,SM,Metsch,Mid37,10,4,,884.68,,NA,,NA,NA
M Met MID 1,M,Metsch,Mid37,1,3,878.57,,1040.64,,NA,,NA
M Met MID 2,M,Metsch,Mid37,2,3,834.78,,968.71,,1214.73,,1273.81
M Met MID 3,M,Metsch,Mid37,3,3,,,1051.8,,1270.21,,1367.79
M Met MID 4,M,Metsch,Mid37,4,3,873.11,,1079.87,,NA,,NA
M Met MID 5,M,Metsch,Mid37,5,3,883.3,,1061.37,,1186.11,,1206.53
M Met MID 6,M,Metsch,Mid37,6,4,,895.6,,NA,,NA,NA
M Met MID 7,M,Metsch,Mid37,7,4,,941.82,,1042.05,,1258.63,1247.43
M Met MID 8,M,Metsch,Mid37,8,4,,825.52,,NA,,NA,NA
M Met MID 9,M,Metsch,Mid37,9,4,,949.7,,1073.5,,1312.25,1315.7
M Met MID 10,M,Metsch,Mid37,10,4,,NA,,NA,,NA,NA
M+ Met MID 1,M+,Metsch,Mid37,1,3,766.19,,NA,,NA,,NA
M+ Met MID 2,M+,Metsch,Mid37,2,3,902.19,,1029.36,,1200.28,,1243.28
M+ Met MID 3,M+,Metsch,Mid37,3,3,781.06,,957.67,,1159.25,,1249.24
M+ Met MID 4,M+,Metsch,Mid37,4,3,827.99,,986.22,,1086.08,,1137.64
M+ Met MID 5,M+,Metsch,Mid37,5,3,891.24,,1062.31,,1173.8,,1203.53
M+ Met MID 6,M+,Metsch,Mid37,6,4,,847.32,,995.26,,1099.12,1150.89
M+ Met MID 7,M+,Metsch,Mid37,7,4,,801.05,,955.35,,1132.27,1172.9
M+ Met MID 8,M+,Metsch,Mid37,8,4,,873.69,,1022.44,,1318.67,1337.57
M+ Met MID 9,M+,Metsch,Mid37,9,4,,878.22,,NA,,NA,NA
M+ Met MID 10,M+,Metsch,Mid37,10,4,,801.98,,924.78,,1180.72,1195.01
S Uninf STD 1,S,Uninfected,Standard,1,3,1192.06,,1438.46,,1618.66,,1684.12
S Uninf STD 2,S,Uninfected,Standard,2,3,1064.87,,1432.17,,1525.6,,1578.36
S Uninf STD 3,S,Uninfected,Standard,3,3,1041.75,,1379.29,,1505.5,,1607.76
S Uninf STD 4,S,Uninfected,Standard,4,3,1148.68,,1539.12,,1651.43,,1805.85
S Uninf STD 5,S,Uninfected,Standard,5,3,1097.74,,NA,,NA,,NA
S Uninf STD 6,S,Uninfected,Standard,6,4,,1252.22,,1344.81,,1602.93,1643.22
S Uninf STD 7,S,Uninfected,Standard,7,4,,NA,,NA,,NA,NA
S Uninf STD 8,S,Uninfected,Standard,8,4,,1244.38,,1368.9,,1558.36,1532.54
S Uninf STD 9,S,Uninfected,Standard,9,4,,1070.29,,1486.82,,1702,1663.44
S Uninf STD 10,S,Uninfected,Standard,10,4,,1139.82,,1327.01,,NA,NA
S:M Uninf STD 1,SM,Uninfected,Standard,1,3,987.75,,1283.27,,1488.99,,1478.76
S:M Uninf STD 2,SM,Uninfected,Standard,2,3,980.86,,1248.49,,1456.6,,1498.11
S:M Uninf STD 3,SM,Uninfected,Standard,3,3,995.7,,1247.29,,1521.81,,1508.23
S:M Uninf STD 4,SM,Uninfected,Standard,4,3,965.21,,1267.8,,1533.98,,1545
S:M Uninf STD 5,SM,Uninfected,Standard,5,3,998.27,,1282.7,,1573.99,,1618.42
S:M Uninf STD 6,SM,Uninfected,Standard,6,4,,1145.96,,1344.99,,1559.5,1606.32
S:M Uninf STD 7,SM,Uninfected,Standard,7,4,,1125.26,,1354.97,,1549.77,1602.04
S:M Uninf STD 8,SM,Uninfected,Standard,8,4,,959.93,,1234.02,,1553.26,1537.23
S:M Uninf STD 9,SM,Uninfected,Standard,9,4,,1158.02,,1415.52,,1607.51,1661.55
S:M Uninf STD 10,SM,Uninfected,Standard,10,4,,1130,,1262.66,,1516.48,1597.89
M Uninf STD 1,M,Uninfected,Standard,1,3,931.93,,1137.97,,1456.58,,1479
M Uninf STD 2,M,Uninfected,Standard,2,3,926.05,,1178.5,,1456.27,,1500.41
M Uninf STD 3,M,Uninfected,Standard,3,3,932.37,,1165.58,,1398.66,,1476.89
M Uninf STD 4,M,Uninfected,Standard,4,3,940.55,,1219.16,,1305.56,,1376.09
M Uninf STD 5,M,Uninfected,Standard,5,3,904.63,,1200.9,,1490.49,,1510.27
M Uninf STD 6,M,Uninfected,Standard,6,4,,946.43,,1183.46,,1503.29,1527.08
M Uninf STD 7,M,Uninfected,Standard,7,4,,942.16,,1219.81,,1502.04,1546.17
M Uninf STD 8,M,Uninfected,Standard,8,4,,932.19,,1223.93,,1493.09,1509.31
M Uninf STD 9,M,Uninfected,Standard,9,4,,883.52,,1165.7,,1432.02,1490.46
M Uninf STD 10,M,Uninfected,Standard,10,4,,946.56,,1140.37,,1470.54,1465.09
M+ Uninf STD 1,M+,Uninfected,Standard,1,3,947.6,,1166.37,,1342.12,,1403.04
M+ Uninf STD 2,M+,Uninfected,Standard,2,3,930.95,,1184.17,,1514.18,,1582.98
M+ Uninf STD 3,M+,Uninfected,Standard,3,3,973.88,,1216.16,,1484.97,,1504.29
M+ Uninf STD 4,M+,Uninfected,Standard,4,3,951.02,,NA,,NA,,NA
M+ Uninf STD 5,M+,Uninfected,Standard,5,3,1026.33,,1261.5,,1386.35,,1472.43
M+ Uninf STD 6,M+,Uninfected,Standard,6,4,,984.07,,1171.69,,1428.29,1496.98
M+ Uninf STD 7,M+,Uninfected,Standard,7,4,,1124.34,,1227.65,,1489.19,1515.78
M+ Uninf STD 8,M+,Uninfected,Standard,8,4,,927.7,,1164.55,,1408.82,1421.7
M+ Uninf STD 9,M+,Uninfected,Standard,9,4,,939.83,,1233.76,,1548.61,1586.96
M+ Uninf STD 10,M+,Uninfected,Standard,10,4,,1026.98,,1256.28,,1552.15,1560.33
S Met STD 1,S,Metsch,Standard,1,3,1033.96,,1339.11,,NA,,NA
S Met STD 2,S,Metsch,Standard,2,3,1106.13,,NA,,NA,,NA
S Met STD 3,S,Metsch,Standard,3,3,1066.17,,1336.01,,NA,,NA
S Met STD 4,S,Metsch,Standard,4,3,1087.4,,1394.93,,NA,,NA
S Met STD 5,S,Metsch,Standard,5,3,1089.93,,1262.56,,NA,,NA
S Met STD 6,S,Metsch,Standard,6,4,,1025.06,,1250.31,,NA,NA
S Met STD 7,S,Metsch,Standard,7,4,,1225.96,,1406.27,,NA,NA
S Met STD 8,S,Metsch,Standard,8,4,,1163.09,,1276.51,,NA,NA
S Met STD 9,S,Metsch,Standard,9,4,,1201.78,,1326.55,,NA,NA
S Met STD 10,S,Metsch,Standard,10,4,,1264.86,,1394.62,,NA,NA
S:M Met STD 1,SM,Metsch,Standard,1,3,1006.54,,1266.98,,1421.32,,1483.46
S:M Met STD 2,SM,Metsch,Standard,2,3,959.61,,1321.06,,1435.45,,NA
S:M Met STD 3,SM,Metsch,Standard,3,3,1056.48,,1338.27,,1492.31,,1665.93
S:M Met STD 4,SM,Metsch,Standard,4,3,973.68,,1283.9,,1582.53,,1601.91
S:M Met STD 5,SM,Metsch,Standard,5,3,998.85,,NA,,NA,,NA
S:M Met STD 6,SM,Metsch,Standard,6,4,,1184.74,,1308.22,,1287.93,1655.24
S:M Met STD 7,SM,Metsch,Standard,7,4,,1052.3,,1296.62,,1220.24,1570.39
S:M Met STD 8,SM,Metsch,Standard,8,4,,1178.97,,NA,,NA,NA
S:M Met STD 9,SM,Metsch,Standard,9,4,,1058.35,,1246.98,,1239.61,1595.57
