Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
17.01.22 13:13:03,0.03,108.86,No Sensor,110.66,113.8,No Sensor,111.98,No Sensor,115.46,112.14,112.64,No Sensor,112.81,115.46,No Sensor,110.5,No Sensor,106.57,109.19,109.68,111.48,112.64,No Sensor,112.81,No Sensor
17.01.22 13:15:04,2.05,109.19,No Sensor,110.33,113.63,No Sensor,111.98,No Sensor,115.63,112.31,112.31,No Sensor,112.64,115.3,No Sensor,110.99,No Sensor,106.41,109.19,109.35,111.65,112.81,No Sensor,112.97,No Sensor
17.01.22 13:17:05,4.07,108.86,No Sensor,110.17,113.63,No Sensor,112.14,No Sensor,115.13,111.81,112.14,No Sensor,112.64,115.13,No Sensor,110.66,No Sensor,106.41,109.02,109.51,111.48,112.64,No Sensor,112.64,No Sensor
17.01.22 13:19:06,6.08,108.86,No Sensor,110,113.14,No Sensor,111.98,No Sensor,115.3,111.98,111.65,No Sensor,112.31,115.46,No Sensor,110.5,No Sensor,106.74,109.19,109.51,111.16,112.81,No Sensor,112.47,No Sensor
17.01.22 13:21:07,8.1,108.69,No Sensor,109.84,112.64,No Sensor,112.14,No Sensor,115.3,111.65,111.65,No Sensor,112.31,115.46,No Sensor,110.5,No Sensor,106.57,108.86,109.35,111.48,112.64,No Sensor,112.14,No Sensor
17.01.22 13:23:08,10.12,109.02,No Sensor,109.84,113.14,No Sensor,112.14,No Sensor,115.3,111.98,111.81,No Sensor,112.14,115.46,No Sensor,110.5,No Sensor,107.06,108.69,109.35,111.48,112.81,No Sensor,112.47,No Sensor
17.01.22 13:25:09,12.13,108.53,No Sensor,109.84,112.81,No Sensor,111.98,No Sensor,115.13,111.65,111.65,No Sensor,112.14,115.46,No Sensor,110,No Sensor,106.25,109.02,109.35,110.83,112.81,No Sensor,112.14,No Sensor
17.01.22 13:27:10,14.15,108.69,No Sensor,109.68,112.81,No Sensor,112.14,No Sensor,114.96,111.48,111.81,No Sensor,111.98,115.3,No Sensor,110,No Sensor,106.25,108.53,109.19,110.99,112.81,No Sensor,112.14,No Sensor
17.01.22 13:29:12,16.18,108.69,No Sensor,109.51,112.31,No Sensor,111.81,No Sensor,114.96,111.48,111.32,No Sensor,112.14,115.13,No Sensor,109.84,No Sensor,105.76,109.02,108.86,110.66,112.81,No Sensor,112.14,No Sensor
17.01.22 13:31:13,18.2,108.53,No Sensor,109.35,111.98,No Sensor,111.81,No Sensor,114.96,110.99,111.16,No Sensor,111.65,115.3,No Sensor,109.84,No Sensor,105.93,108.53,108.69,110.5,112.31,No Sensor,112.14,No Sensor
