Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
18.01.22 13:05:13,0.03,109.51,107.39,109.02,108.86,108.69,108.86,107.71,110.5,111.98,111.81,107.39,111.48,111.48,111.98,105.93,No Sensor,106.74,111.65,112.97,110.99,113.97,111.32,112.81,No Sensor
18.01.22 13:07:14,2.05,109.51,107.55,109.19,109.02,108.53,109.19,108.04,110.33,112.14,111.48,107.55,110.83,111.48,111.65,105.28,No Sensor,107.06,111.65,112.97,111.16,114.13,111.32,112.47,No Sensor
18.01.22 13:09:15,4.07,108.69,107.55,108.86,108.37,108.2,108.69,107.55,110,111.81,110.83,107.39,110.17,110.99,111.32,104.15,No Sensor,106.41,111.16,112.14,110.5,113.97,110.83,111.98,No Sensor
18.01.22 13:11:15,6.07,108.37,107.06,108.37,108.2,108.53,108.53,107.71,109.68,111.81,110.99,107.55,110.33,111.16,110.66,103.66,No Sensor,106.25,110.83,112.14,110.5,113.8,110.99,111.98,No Sensor
18.01.22 13:13:16,8.08,108.37,107.06,108.53,108.53,108.53,108.86,107.55,109.68,111.81,111.16,107.39,110.17,111.32,110.66,103.18,No Sensor,106.09,110.99,111.98,110.5,114.3,110.83,111.98,No Sensor
18.01.22 13:15:17,10.1,108.04,106.57,108.04,108.37,108.37,108.69,107.71,109.51,111.65,110.99,107.06,109.84,110.99,110.5,102.86,No Sensor,106.09,110.66,111.65,110.33,114.13,110.83,111.81,No Sensor
18.01.22 13:17:18,12.12,107.88,106.41,107.88,108.37,108.37,108.69,107.39,109.19,111.48,110.83,106.9,109.68,110.66,110.66,102.7,No Sensor,105.93,110.5,111.65,110.17,114.13,110.83,111.48,No Sensor
18.01.22 13:19:19,14.13,107.88,106.41,108.04,108.2,108.37,108.86,107.55,109.51,111.48,110.83,106.57,109.51,110.5,110.33,102.86,No Sensor,105.76,110.33,111.65,110.17,113.97,110.33,111.81,No Sensor
18.01.22 13:21:20,16.15,107.23,106.09,107.88,108.04,108.2,108.53,107.39,109.02,111.16,110.5,106.25,109.68,110,110.5,102.7,No Sensor,105.44,110.17,111.65,109.84,113.8,110.17,111.81,No Sensor
18.01.22 13:23:20,18.15,106.74,105.93,107.23,108.04,108.37,108.37,107.23,108.86,110.83,110.33,106.25,109.51,110.33,109.84,103.18,No Sensor,105.28,109.51,111.65,110,113.8,110.17,111.81,No Sensor
18.01.22 13:25:21,20.17,106.74,105.44,107.39,107.71,108.37,108.2,106.9,108.53,110.66,109.84,105.76,109.68,110.33,109.84,103.66,No Sensor,105.12,109.68,111.65,109.51,113.63,109.84,111.65,No Sensor
18.01.22 13:27:22,22.18,106.57,105.44,107.06,107.71,108.04,108.37,106.9,108.53,110.66,109.68,105.76,109.51,110,109.68,103.66,No Sensor,105.12,109.68,111.32,109.84,113.47,109.84,111.32,No Sensor
