Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
13.12.21 09:35:23,0.03,109.51,111.32,No Sensor,111.98,113.14,116.96,115.3,No Sensor,No Sensor,113.14,No Sensor,111.32,106.74,112.64,113.14,115.3,No Sensor,116.63,No Sensor,No Sensor,111.32,No Sensor,111.81,110.33
13.12.21 09:37:23,2.03,109.19,111.16,No Sensor,111.98,113.47,116.46,114.63,No Sensor,No Sensor,112.81,No Sensor,111.32,106.9,112.47,112.64,114.96,No Sensor,115.96,No Sensor,No Sensor,110.99,No Sensor,110.99,110.33
13.12.21 09:39:24,4.05,109.51,111.16,No Sensor,111.65,113.97,116.3,114.96,No Sensor,No Sensor,112.31,No Sensor,111.48,107.23,112.47,112.64,114.96,No Sensor,116.13,No Sensor,No Sensor,111.16,No Sensor,111.16,110.5
13.12.21 09:41:26,6.08,109.19,110.83,No Sensor,111.81,113.47,115.96,114.46,No Sensor,No Sensor,111.81,No Sensor,111.48,107.23,112.14,112.14,114.8,No Sensor,115.96,No Sensor,No Sensor,110.83,No Sensor,110.99,110.17
13.12.21 09:43:26,8.08,109.19,110.99,No Sensor,111.48,113.97,115.8,113.97,No Sensor,No Sensor,111.98,No Sensor,111.65,107.71,112.31,112.14,114.96,No Sensor,116.3,No Sensor,No Sensor,110.99,No Sensor,111.16,110.17
13.12.21 09:45:26,10.08,109.02,110.99,No Sensor,111.98,113.8,115.46,114.13,No Sensor,No Sensor,111.81,No Sensor,111.65,107.88,112.14,111.98,114.63,No Sensor,116.13,No Sensor,No Sensor,110.99,No Sensor,110.66,110.33
13.12.21 09:47:26,12.08,109.19,110.83,No Sensor,111.48,114.13,115.3,114.3,No Sensor,No Sensor,111.48,No Sensor,111.48,107.71,112.14,112.14,115.13,No Sensor,115.46,No Sensor,No Sensor,110.99,No Sensor,110.66,110
13.12.21 09:49:26,14.08,109.02,110.99,No Sensor,110.99,113.97,115.46,114.46,No Sensor,No Sensor,111.65,No Sensor,111.65,107.71,112.14,111.98,115.3,No Sensor,116.13,No Sensor,No Sensor,110.83,No Sensor,110.66,110
13.12.21 09:51:27,16.1,108.86,110.99,No Sensor,111.32,113.63,115.13,114.3,No Sensor,No Sensor,111.65,No Sensor,111.65,107.55,111.81,111.81,115.3,No Sensor,115.96,No Sensor,No Sensor,110.99,No Sensor,110.17,110
13.12.21 09:53:27,18.1,109.35,110.33,No Sensor,111.16,113.63,115.13,114.13,No Sensor,No Sensor,111.48,No Sensor,111.65,107.71,111.98,111.81,115.13,No Sensor,115.8,No Sensor,No Sensor,110.99,No Sensor,110,110.17
13.12.21 09:55:28,20.12,109.35,110.17,No Sensor,111.16,113.63,114.96,114.13,No Sensor,No Sensor,110.83,No Sensor,111.65,107.88,111.81,111.81,114.46,No Sensor,115.63,No Sensor,No Sensor,110.66,No Sensor,110.33,109.84
13.12.21 09:57:29,22.13,108.69,110,No Sensor,110.99,113.3,114.63,114.13,No Sensor,No Sensor,110.83,No Sensor,111.32,107.71,111.98,111.65,114.13,No Sensor,115.46,No Sensor,No Sensor,110.5,No Sensor,109.68,109.84
13.12.21 09:59:30,24.15,108.53,110,No Sensor,110.99,113.47,114.63,113.47,No Sensor,No Sensor,111.16,No Sensor,111.48,107.55,111.48,111.32,114.13,No Sensor,115.63,No Sensor,No Sensor,110.5,No Sensor,110.17,109.51
