Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
16.11.21 15:50:18,0.03,112.14,114.63,No Sensor,115.13,116.13,113.63,113.8,116.8,114.46,No Sensor,116.96,112.47,110.83,111.65,115.8,116.8,112.47,116.96,110.99,115.8,114.13,116.46,111.16,111.48
16.11.21 15:52:18,2.03,111.81,114.3,No Sensor,114.8,114.63,113.47,113.47,115.46,114.3,No Sensor,116.13,112.31,110.5,111.16,114.63,116.8,112.31,116.3,111.16,114.63,113.97,116.63,111.32,111.65
16.11.21 15:54:18,4.03,111.65,113.8,No Sensor,114.46,114.13,113.14,113.63,115.3,114.13,No Sensor,115.63,112.47,110.17,111.81,113.97,116.46,111.98,115.46,111.16,113.8,113.63,116.13,111.32,111.98
16.11.21 15:56:18,6.03,111.65,113.63,No Sensor,114.46,113.47,113.14,113.3,114.8,114.13,No Sensor,115.3,112.81,109.84,111.65,113.14,116.3,111.81,115.13,110.66,113.14,113.8,115.96,111.16,112.14
16.11.21 15:58:18,8.03,111.48,113.14,No Sensor,114.3,113.14,112.97,113.47,114.3,113.8,No Sensor,115.13,112.31,109.51,111.81,113.3,116.13,111.65,114.96,110.83,112.64,113.14,115.96,110.99,111.48
16.11.21 16:00:18,10.03,111.65,112.81,No Sensor,114.46,112.97,113.3,113.47,114.3,113.8,No Sensor,115.13,112.97,109.68,112.14,112.81,116.13,111.48,114.63,111.32,112.31,113.14,115.63,111.32,112.14
16.11.21 16:02:18,12.03,111.16,112.64,No Sensor,113.97,111.98,112.81,113.14,113.8,113.8,No Sensor,114.46,112.64,109.02,111.65,112.81,116.13,111.48,114.63,110.83,111.65,113.3,116.13,111.65,111.98
16.11.21 16:04:18,14.03,111.16,112.47,No Sensor,113.97,111.81,112.31,112.64,113.63,113.63,No Sensor,114.46,112.31,108.86,111.65,112.64,115.63,111.16,114.3,110.99,111.48,112.97,115.96,111.32,111.98
16.11.21 16:06:18,16.03,111.16,112.31,No Sensor,113.97,111.32,112.64,112.81,113.63,113.47,No Sensor,114.3,112.64,109.02,111.65,112.14,115.8,110.66,113.97,110.83,111.32,112.64,115.96,111.48,111.81
16.11.21 16:08:18,18.03,111.16,112.31,No Sensor,113.63,111.32,112.64,112.81,113.3,113.3,No Sensor,114.63,112.47,109.02,111.98,112.31,115.96,110.99,114.13,110.83,110.83,112.97,115.8,111.16,111.65
16.11.21 16:10:18,20.03,110.83,111.98,No Sensor,113.63,111.32,112.47,112.64,113.47,113.47,No Sensor,114.13,112.47,108.86,111.48,111.81,115.13,110.83,113.63,110.66,110.83,112.64,115.8,111.32,111.81
16.11.21 16:12:18,22.03,110.66,111.65,No Sensor,113.63,111.16,112.31,112.47,113.3,113.3,No Sensor,114.13,112.31,108.53,111.32,111.65,115.46,110.83,113.63,110.5,110.5,112.47,115.63,111.16,111.81
16.11.21 16:14:18,24.03,110.83,111.81,No Sensor,113.47,111.16,112.14,112.47,113.3,113.3,No Sensor,114.3,112.64,108.53,111.32,111.81,115.8,110.99,113.8,110.83,110.17,112.64,115.46,111.16,111.98
