Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
30.11.21 13:13:36,0.03,114.8,114.63,No Sensor,No Sensor,No Sensor,No Sensor,117.63,No Sensor,116.96,No Sensor,No Sensor,117.63,No Sensor,118.14,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.3,113.63,No Sensor,114.3,113.8
30.11.21 13:15:36,2.03,114.8,115.46,No Sensor,No Sensor,No Sensor,No Sensor,118.14,No Sensor,116.96,No Sensor,No Sensor,117.63,No Sensor,118.31,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.63,113.97,No Sensor,114.3,113.8
30.11.21 13:17:36,4.03,114.8,115.46,No Sensor,No Sensor,No Sensor,No Sensor,118.14,No Sensor,117.47,No Sensor,No Sensor,117.8,No Sensor,118.14,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.63,113.8,No Sensor,114.63,114.13
30.11.21 13:19:36,6.03,115.46,115.96,No Sensor,No Sensor,No Sensor,No Sensor,118.31,No Sensor,117.8,No Sensor,No Sensor,117.97,No Sensor,118.47,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.8,113.97,No Sensor,114.8,113.63
30.11.21 13:21:36,8.03,115.63,115.96,No Sensor,No Sensor,No Sensor,No Sensor,118.64,No Sensor,117.63,No Sensor,No Sensor,118.31,No Sensor,118.81,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.63,113.97,No Sensor,114.8,113.97
30.11.21 13:23:37,10.05,115.3,115.63,No Sensor,No Sensor,No Sensor,No Sensor,118.47,No Sensor,117.63,No Sensor,No Sensor,117.63,No Sensor,118.31,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.63,113.97,No Sensor,114.63,113.8
30.11.21 13:25:37,12.05,115.3,115.63,No Sensor,No Sensor,No Sensor,No Sensor,118.47,No Sensor,117.63,No Sensor,No Sensor,117.47,No Sensor,118.14,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.3,113.97,No Sensor,114.63,113.8
30.11.21 13:27:37,14.05,115.13,115.8,No Sensor,No Sensor,No Sensor,No Sensor,118.81,No Sensor,117.8,No Sensor,No Sensor,117.63,No Sensor,118.31,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.63,113.8,No Sensor,114.8,113.63
30.11.21 13:29:37,16.05,115.46,115.96,No Sensor,No Sensor,No Sensor,No Sensor,118.81,No Sensor,117.8,No Sensor,No Sensor,117.63,No Sensor,118.31,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.3,114.13,No Sensor,114.8,113.47
30.11.21 13:31:37,18.05,115.3,115.96,No Sensor,No Sensor,No Sensor,No Sensor,118.64,No Sensor,117.63,No Sensor,No Sensor,117.8,No Sensor,118.47,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.46,114.13,No Sensor,114.8,113.63
30.11.21 13:33:37,20.05,115.3,115.8,No Sensor,No Sensor,No Sensor,No Sensor,118.31,No Sensor,117.8,No Sensor,No Sensor,117.63,No Sensor,118.14,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.3,114.13,No Sensor,114.8,113.47
30.11.21 13:35:37,22.05,115.13,115.63,No Sensor,No Sensor,No Sensor,No Sensor,118.47,No Sensor,117.47,No Sensor,No Sensor,117.47,No Sensor,118.14,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.13,113.63,No Sensor,114.63,113.3
30.11.21 13:37:37,24.05,115.3,115.63,No Sensor,No Sensor,No Sensor,No Sensor,118.64,No Sensor,117.47,No Sensor,No Sensor,117.47,No Sensor,118.14,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.13,113.97,No Sensor,114.63,113.3
30.11.21 13:39:37,26.05,115.3,115.46,No Sensor,No Sensor,No Sensor,No Sensor,118.47,No Sensor,117.3,No Sensor,No Sensor,117.3,No Sensor,117.97,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.3,113.8,No Sensor,114.8,113.47
30.11.21 13:41:37,28.05,115.3,115.8,No Sensor,No Sensor,No Sensor,No Sensor,118.64,No Sensor,117.3,No Sensor,No Sensor,117.63,No Sensor,118.31,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,116.3,113.63,No Sensor,114.63,113.47
30.11.21 13:43:38,30.07,114.8,115.8,No Sensor,No Sensor,No Sensor,No Sensor,118.47,No Sensor,117.3,No Sensor,No Sensor,117.3,No Sensor,118.14,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,115.96,113.8,No Sensor,114.96,113.14
30.11.21 13:45:38,32.07,115.3,115.63,No Sensor,No Sensor,No Sensor,No Sensor,118.47,No Sensor,117.63,No Sensor,No Sensor,117.3,No Sensor,118.14,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,115.96,113.47,No Sensor,114.3,113.3
